ticker,fund_name,inception_date,expense_ratio,aum_millions,asset_class,issuer,average_volume,ytd_return,dividend_yield
VTI,"Vanguard Total Stock Market ETF",2001-05-24,0.03,350000,Equity,Vanguard,4500000,13.2,1.52
AGG,"iShares Core U.S. Aggregate Bond ETF",2003-09-22,0.03,105000,"Fixed Income",BlackRock,5500000,-1.23,3.12
ARKG,"ARK Genomic Revolution ETF",2014-10-31,0.75,3200,Equity,"ARK Invest",4500000,-8.92,NULL
ARKK,"ARK Innovation ETF",2014-10-31,0.75,8500.25,Equity,"ARK Invest",15000000,-5.67,NULL
BND,"Vanguard Total Bond Market ETF",2007-04-03,0.03,NULL,"Fixed Income",Vanguard,4200000,-1.45,3.25
DIA,"SPDR Dow Jones Industrial Average ETF Trust",1998-01-14,0.16,35000,Equity,"State Street",4200000,10.23,1.67
EEM,"iShares MSCI Emerging Markets ETF",2003-04-07,0.68,22000,"International Equity",BlackRock,32000000,3.12,2.95
EFA,"iShares MSCI EAFE ETF",2001-08-14,0.32,65000,"International Equity",BlackRock,18500000,5.45,2.87
EMB,"iShares J.P. Morgan USD Emerging Markets Bond ETF",2007-12-17,0.39,15000,"Fixed Income",BlackRock,4500000,2.89,5.92
GLD,"SPDR Gold Shares",2004-11-18,0.4,62000,Commodity,"State Street",7500000,8.92,NULL
HYG,"iShares iBoxx $ High Yield Corporate Bond ETF",2007-04-04,0.49,18000,"Fixed Income",BlackRock,22000000,3.45,6.78
IEFA,"iShares Core MSCI EAFE ETF",2012-10-18,0.07,95000.50,"International Equity",BlackRock,8500000,5.67,2.89
IEMG,"iShares Core MSCI Emerging Markets ETF",2012-10-18,0.09,82000,"International Equity",BlackRock,14500000,3.67,2.87
IJH,"iShares Core S&P Mid-Cap ETF",2000-05-22,0.05,78000,Equity,BlackRock,2400000,9.87,1.23
IVV,"iShares Core S&P 500 ETF",2000-05-15,0.03,380000,Equity,BlackRock,3800000,12.33,NULL
IWM,"iShares Russell 2000 ETF",2000-05-22,0.19,68000,Equity,BlackRock,28000000,10.98,1.28
IYR,"iShares U.S. Real Estate ETF",2000-06-12,0.4,4200,"Real Estate",BlackRock,5200000,NULL,3.67
LQD,"iShares iBoxx $ Investment Grade Corporate Bond ETF",2002-07-22,0.14,45000,"Fixed Income",BlackRock,12000000,-0.89,4.15
MDY,"SPDR S&P MidCap 400 ETF Trust",1995-05-04,0.23,22000,Equity,"State Street",850000,9.78,1.45
MUB,"iShares National Muni Bond ETF",2007-09-07,0.05,28000,"Fixed Income",BlackRock,2100000,0.89,2.45
QQQ,"Invesco QQQ Trust",1999-03-10,0.2,250000.75,Equity,Invesco,45000000,18.45,0.52
SCHA,"Schwab U.S. Small-Cap ETF",2009-11-03,0.04,14000,Equity,"Charles Schwab",1200000,11.45,1.12
SCHB,"Schwab U.S. Broad Market ETF",2009-11-03,0.03,28000,Equity,"Charles Schwab",1500000,13.01,1.48
SHY,"iShares 1-3 Year Treasury Bond ETF",2002-07-22,0.15,25000,"Fixed Income",BlackRock,3100000,0.45,2.15
SLV,"iShares Silver Trust",2006-04-28,0.5,12500.75,Commodity,BlackRock,18000000,12.45,0.00
SPY,"SPDR S&P 500 ETF Trust",1993-01-22,0.0945,450123.5,Equity,"State Street",75000000,12.34,1.45
TIP,"iShares TIPS Bond ETF",2003-12-04,0.19,38000,"Fixed Income",BlackRock,3200000,0.12,4.23
TLT,"iShares 20+ Year Treasury Bond ETF",2002-07-22,0.15,52000,"Fixed Income",BlackRock,14000000,-8.45,3.89
VB,"Vanguard Small-Cap ETF",2004-01-26,0.05,52000,Equity,Vanguard,850000,11.23,1.34
VCIT,"Vanguard Intermediate-Term Corporate Bond ETF",2009-11-19,0.04,52000,"Fixed Income",Vanguard,2800000,1.23,4.05
VEA,"Vanguard FTSE Developed Markets ETF",2007-07-20,0.05,125000,"International Equity",Vanguard,12000000,5.89,2.95
VGT,"Vanguard Information Technology ETF",2004-01-26,0.1,75000,"Equity - Sector",Vanguard,650000,26.12,0.65
VNQ,"Vanguard Real Estate ETF",2004-09-23,0.12,45000,"Real Estate",Vanguard,3500000,7.89,3.45
VOO,"Vanguard S&P 500 ETF",2010-09-07,0.03,NULL,Equity,Vanguard,3500000,12.31,1.46
VTEB,"Vanguard Tax-Exempt Bond ETF",2015-08-21,0.05,12500,"Fixed Income",Vanguard,1800000,0.95,2.38
VTI,"Vanguard Total Stock Market ETF",2001-05-24,0.03,350500,Equity,Vanguard,3200000,13.25,1.51
VWO,"Vanguard FTSE Emerging Markets ETF",2005-03-04,0.08,85000,"International Equity",Vanguard,9500000,3.45,3.78
XLE,"Energy Select Sector SPDR Fund",1998-12-16,0.1,38000,"Equity - Sector","State Street",45000000,22.34,3.12
XLF,"Financial Select Sector SPDR Fund",1998-12-16,0.1,45000,"Equity - Sector","State Street",52000000,15.67,1.89
XLK,"Technology Select Sector SPDR Fund",1998-12-16,0.1,62000,"Equity - Sector","State Street",8500000,25.67,0.78
